Holiday Name,Date
New Year's Day,Wednesday 1 January 2020
Australia Day,Monday 27 January 2020
Canberra Day,Monday 9 March 2020
Good Friday,Friday 10 April 2020
Easter Saturday,Saturday 11 April 2020
Easter Sunday,Sunday 12 April 2020
Easter Monday,Monday 13 April 2020
ANZAC Day,Saturday 25 April 2020
Declared public holiday,Monday 27 April 2020
Reconciliation Day,Monday 1 June 2020
Queens Birthday,Monday 8 June 2020
Labour Day,Monday 5 October 2020
Christmas Day,Friday 25 December 2020
Boxing Day,Saturday 26 December 2020 & Monday 28 December 2020
